Vùng,Năm,Diện tích(Km2),Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Tổng dân số,Nam,Nữ,Tổng dân số thành thị,Tổng dân số nông thôn,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên,Tỷ suất nhập cư,Tỷ suất xuất cư,Tỷ suất di cư thuần,Tỷ số giới tính,Khu vực,Tỉ lệ thất nghiệp,Tỉ lệ thất nghiệp ở thành thị,Tỉ lệ thất nghiệp ở nông thôn,Phần trăm dân số
Hà Nội,2011,3328.9,6825.8,2050.5,6825.82,3359.81,3466.0,2900.37,3925.45,18.6,6.8,11.8,11,6.4,4.7,96.94,Đồng bằng sông Hồng,3.35,2.82,1.48,7.74
Hà Nội,2012,3323.6,6991.4,2103.6,6991.43,3444.43,3547.01,2972.61,4018.82,17.1,7.2,9.9,6.1,3.3,2.8,97.11,Đồng bằng sông Hồng,1.19,1.34,5.59,7.84
Hà Nội,2013,3324.3,7128.4,2144.3,7128.39,3515.06,3613.33,3024.64,4103.75,16.5,7.3,9.2,7.7,7.4,0.3,97.28,Đồng bằng sông Hồng,1.92,0.89,5.15,7.9
Hà Nội,2014,3324.5,7285.5,2191.5,7285.53,3595.78,3689.76,3583.51,3702.03,18.9,6.6,12.3,7.5,7.8,-0.4,97.45,Đồng bằng sông Hồng,1.6,2.07,4.65,7.99
Hà Nội,2015,3324.5,7433.6,2236.0,7433.6,3672.2,3761.4,3650.5,3783.1,16.3,7.3,9.1,4.7,4.1,0.6,97.6,Đồng bằng sông Hồng,4.13,3.77,3.63,8.06
Hà Nội,2016,3358.9,7590.8,2259.9,7590.8,3753.2,3837.6,3733.0,3857.7,16.6,7.8,8.8,4.6,2.6,2,97.8,Đồng bằng sông Hồng,4.01,0.36,5.74,8.14
Hà Nội,2017,3358.6,7742.2,2305.2,7742.2,3831.5,3910.7,3810.0,3932.2,15.1,5.5,9.6,3,3.3,-0.3,98.0,Đồng bằng sông Hồng,0.93,0.36,0.93,8.21
Hà Nội,2018,3358.6,7914.5,2356.5,7914.5,3920.3,3994.2,3904.8,4009.6,14.7,6.1,8.6,4.7,2.6,2.1,98.1,Đồng bằng sông Hồng,2.43,3.84,2.63,8.3
Hà Nội,2019,3358.6,8093.9,2410.0,8093.9,4012.7,4081.2,4000.3,4093.6,19.1,5.7,13.4,8.8,2.5,6.3,98.32,Đồng bằng sông Hồng,4.81,4.24,5.76,8.39
Hà Nội,2020,3359.8,8246.5,2454.0,8246.54,4083.48,4163.06,4061.06,4185.48,17.9,5.43,12.47,6.26,2.53,3.73,98.09,Đồng bằng sông Hồng,2.54,0.42,2.38,8.45
Hà Nội,2021,3359.8,8330.8,2480.0,8330.8,4132.01,4198.83,4095.37,4235.47,17.4,7.6,9.78,7.68,1.75,5.93,98.41,Đồng bằng sông Hồng,1.83,2.33,4.69,8.46
Hà Nội,2022,3359.8,8435.7,2511.0,8435.65,4167.29,4268.36,4138.51,4297.15,16.4,7.3,9.1,4.79,2.84,1.95,97.63,Đồng bằng sông Hồng,0.51,3.02,1.36,8.48
Hà Nội,2023,3359.8,8587.1,2555.8,8587.08,4264.17,4322.91,4212.99,4374.09,14.01,4.87,9.14,5.85,1.96,3.89,96.65,Đồng bằng sông Hồng,3.32,1.31,4.55,8.56
Hà Nội,2024,3359.8,8717.6,2594.7,8717.63,4336.19,4381.44,4280.83,4436.79,13.62,4.13,9.49,5.91,4.47,1.44,98.97,Đồng bằng sông Hồng,4.27,2.49,5.12,8.6
Vĩnh Phúc,2011,1236.5,1029.5,832.6,1029.5,508.44,521.06,236.95,792.56,17.7,7.1,10.5,4.3,16,-11.7,97.58,Đồng bằng sông Hồng,2.12,0.54,2.11,1.17
Vĩnh Phúc,2012,1236.5,1047.4,847.1,1047.39,517.28,530.11,244.56,802.84,18.7,7.3,11.4,2.9,4,-1.1,97.58,Đồng bằng sông Hồng,1.66,2.91,3.26,1.17
Vĩnh Phúc,2013,1238.6,1061.5,857.0,1061.5,524.25,537.25,251.44,810.06,18.0,7.0,11.0,6.4,6.8,-0.5,97.58,Đồng bằng sông Hồng,4.43,3.04,3.53,1.18
Vĩnh Phúc,2014,1237.5,1076.8,870.2,1076.82,529.54,547.28,251.06,825.77,20.3,6.7,13.6,4.9,4.5,0.4,96.76,Đồng bằng sông Hồng,0.58,3.55,1.65,1.18
Vĩnh Phúc,2015,1237.5,1090.4,881.1,1090.4,536.2,554.2,254.2,836.1,17.7,6.4,11.2,2.8,4.3,-1.4,96.8,Đồng bằng sông Hồng,4.31,2.28,2.42,1.18
Vĩnh Phúc,2016,1235.3,1106.1,895.4,1106.1,543.9,562.2,257.9,848.3,19.2,5.8,13.4,2.4,2.4,0,96.8,Đồng bằng sông Hồng,1.71,3.67,2.41,1.19
Vĩnh Phúc,2017,1235.2,1123.1,909.2,1123.1,555.4,567.8,261.7,861.4,17.5,7.2,10.3,1.7,1.4,0.3,97.8,Đồng bằng sông Hồng,4.07,1.26,2.07,1.19
Vĩnh Phúc,2018,1235.2,1138.4,921.6,1138.4,563.7,574.6,285.2,853.2,17.5,8.7,8.8,2,1.2,0.8,98.1,Đồng bằng sông Hồng,4.47,2.15,1.27,1.19
Vĩnh Phúc,2019,1235.9,1154.8,934.0,1154.8,575.5,579.4,295.2,859.6,17.2,5.9,11.3,2.5,4.8,-2.3,99.32,Đồng bằng sông Hồng,2.49,3.29,1.17,1.2
Vĩnh Phúc,2020,1236.0,1171.2,948.0,1171.23,583.72,587.51,350.98,820.25,17.46,5.68,11.79,2.16,2.8,-0.64,99.35,Đồng bằng sông Hồng,3.21,3.26,2.73,1.2
Vĩnh Phúc,2021,1236.0,1191.8,964.0,1191.8,593.96,597.82,358.33,833.4,16.8,6.8,10.0,2.31,2.14,0.17,99.35,Đồng bằng sông Hồng,2.44,0.39,5.92,1.21
Vĩnh Phúc,2022,1236.0,1197.6,969.0,1197.62,598.03,599.59,366.18,831.44,15.4,6.21,9.19,1.45,1.88,-0.43,99.74,Đồng bằng sông Hồng,0.71,1.58,0.92,1.2
Vĩnh Phúc,2023,1236.0,1211.3,980.1,1211.35,604.74,606.6,411.0,800.35,14.94,5.49,9.46,2.53,3.51,-0.98,97.97,Đồng bằng sông Hồng,4.69,4.05,5.5,1.21
Vĩnh Phúc,2024,1236.0,1225.3,991.3,1225.29,611.74,613.55,416.63,808.67,14.24,3.63,10.6,4.91,3.97,0.95,99.7,Đồng bằng sông Hồng,3.65,4.23,5.16,1.21
Bắc Ninh,2011,822.7,1072.4,1303.5,1072.38,527.1,545.28,279.35,793.03,18.2,7.2,11.0,13.4,6.5,7,96.66,Đồng bằng sông Hồng,4.25,3.22,3.0,1.22
